0 1
0 2
0 3
0 4
0 5
0 6
1 7
1 3
1 4
1 8
1 9
2 10
2 11
3 12
3 11
4 13
4 6
4 14
4 8
4 15
5 16
5 10
6 16
7 17
7 18
8 18
8 20
8 15
8 19
9 21
9 22
10 23
10 24
10 25
10 26
11 27
11 23
11 28
11 12
12 22
13 31
13 29
13 30
14 16
14 30
15 29
16 30
16 32
16 33
16 24
17 21
17 34
17 18
18 36
18 19
18 35
19 20
19 37
19 36
19 29
20 29
21 34
21 22
21 38
22 39
22 27
22 38
23 28
23 25
23 40
24 26
24 41
24 42
25 26
25 40
25 43
26 42
26 44
26 45
26 43
26 46
27 39
27 47
28 48
28 47
29 52
29 53
29 51
29 54
30 49
30 50
31 49
31 51
32 41
32 55
33 50
33 55
34 56
34 35
34 57
34 58
35 58
35 59
36 60
36 59
36 37
37 62
37 60
37 48
37 61
37 54
38 56
38 63
38 39
39 64
39 63
39 65
40 48
41 66
42 66
42 67
43 69
43 68
44 69
44 70
45 71
45 46
46 67
46 72
47 48
47 73
47 64
48 61
48 62
48 68
49 76
49 50
49 75
49 74
50 57
50 55
50 74
51 77
52 69
52 78
52 77
52 53
52 70
53 54
53 62
53 68
53 69
55 63
55 57
55 66
55 56
55 67
56 63
56 57
57 74
57 58
58 74
58 79
58 80
59 81
59 79
59 60
60 81
60 73
61 73
63 67
63 65
64 73
64 65
65 67
65 82
65 83
66 67
67 85
67 83
70 71
71 72
71 88
71 78
71 87
71 86
72 85
73 84
73 81
73 82
74 80
74 75
75 89
76 77
76 89
77 78
77 88
79 90
79 92
80 92
80 89
81 90
81 84
81 91
82 93
83 85
83 93
84 93
85 87
86 94
86 95
86 89
87 95
88 89
89 94
90 94
91 94
91 93
92 94
93 95
